respostas,classificacao
Princípio da precaUção - dÚvida incerteza científica Princípio da PREVenção - dano PREVisível Se o risco de exposição ao agrotóxico pode ser mensurado o dano pode ser PREVisto,1
A responsabilidade ambiental é tríplice ou seja uma única conduta pode ser alvo de ação de reparação na esfera cível e sancionamento nas esferas administrativa e criminal,1
No Direito Ambiental é aplicável o princípio da precaução e o da prevenção,1
A função social da propiedade é aplicável aos imóveis urbanos e rurais,1
RIO 92 PRINCÍPIO 16 – Tendo em vista que o poluidor deve em princípio arcar com o custo decorrente da poluição as autoridades nacionais devem procurar promover a INTERNALIZAÇÃO dos custos ambientais e o uso de instrumentos econômicos levando na devida conta o interesse público sem distorcer o comércio e os investimentos internacionais,1
Princípio equidade ligado ao do desenvolvimento sustentável a chamada equidade intergeracional é a obrigação das presentes gerações de legar às gerações futuras o meio ambiente equilibrado,1
PRINCÍPIO DA PREVENÇÃO Por este princípio implicitamente consagrado no artigo 225 da CRFB e presente em resoluções do CONAMA já se tem base científica para prever os danos ambientais decorrentes de determinada atividade lesiva ao meio ambiente devendo-se impor ao empreendedor condicionantes no licenciamento ambiental para mitigar ou elidir os prejuízos Ele se volta a atividades de vasto conhecimento humano (risco certo conhecido ou concreto) em que já se definiram a extensão e a natureza dos danos ambientais trabalhando com boa margem de segurança,1
Uma empresa solicitou licença prévia para implementação de sua atividade industrial que utiliza determinados reagentes químicos e que pode causar ameaças de danos graves ou irreversíveis ao meio ambiente A autoridade administrativa entendeu que diante da ausência de certeza científica absoluta não concederia a licença O princípio que fundamentou a negativa de licença é o Precaução,1
O princípio da precaução antecede a prevenção a questão principal não é apenas evitar o dano ambiental mas sim evitar qualquer risco de dano ao meio ambiente Ou seja se há a noção de que determinada atividade seja passível de causar danos ao meio ambiente o princípio da precaução entrará em cena impedindo assim o desenvolvimento da citada atividade,1
A elaboração do EIV não substitui a elaboração e a aprovação de estudo prévio de impacto ambiental (EIA) requeridas nos termos da legislação ambiental,1
O princípio ambiental da prevenção não se confunde com o princípio ambiental da precaução O princípio da prevenção se aplica quando existem elementos seguros para afirmar que uma determinada atividade é perigosa sendo que têm por objetivo impedir a ocorrência de danos ao meio ambiente por meio da imposição de medidas acautelatórias antes da implantação de empreendimentos e atividades consideradas efetiva ou potencialmente poluidoras,1
Art 225 Todos têm direito ao meio ambiente ecologicamente equilibrado bem de uso comum do povo e essencial à sadia qualidade de vida impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá- lo para as presentes e futuras gerações,1
O princípio do usuário pagador estabelece que quem utiliza o recurso ambiental deve suportar os custos advindos dessa prática,1
O princípio do Poluidor-pagador parte da premissa que não é justo que o empreendedor internalize os lucros e socialize os prejuízos ambientais Logo deverá o poluidor arcar com os custos sociais da degradação causada internalizando as externalidades negativas Com propriedade o exemplo genérico de concretização do Princípio do Poluidor-pagador é o dever ambiental de reparação ou compensação dos danos ambientais mesmo que a poluição esteja amparada em licença ou autorização ambiental,1
No Direito Ambiental é aplicável somente o princípio da precaução não o da prevenção,0
O princípio da função social da propriedade somente se aplica aos imóveis rurais não aos imóveis situados nas cidades,0
O princípio do poluidor pagador significa que é possível a alguém pagar para poluir,0
O princípio da função socioambiental da propriedade autoriza o poder público a impor limites ao uso de bens imóveis localizados em área rural no que tange à exploração de seus recursos naturais não se aplicando porém tal preceito à propriedade urbana,0
O licenciamento ambiental - instrumento de política nacional do meio ambiente destinado a permitir a construção instalação ampliação e funcionamento de estabelecimentos e atividades utilizadores de recursos ambientais considerados efetiva ou potencialmente poluidores - é incompatível com o princípio da prevenção,0
O Princípio do Poluidor-pagador tem em vista que o poluidor deve em princípio arcar com o custo decorrente da poluição sendo obrigado a recuperar e ou indenizar os danos causados ao meio ambiente caso seja comprovada culpa,0
A Constituição Federal de 1988 apesar de tratar de assuntos relacionados ao meio ambiente garantindo em seus artigos o direito ao meio ambiente ecologicamente equilibrado não trata expressamente da Educação Ambiental,0
O Princípio da Função Socioambiental deverá ser atendido exclusivamente e impreterivelmente nas propriedades rurais sendo cumprido quando esta propriedade utiliza adequadamente os recursos naturais disponíveis e preserva o meio ambiente,0
De acordo com o estabelecido na Lei nº 9605 de 12 de fevereiro de 1998 (crimes contra o meio ambiente) constitui crime causar poluição de qualquer natureza em níveis tais que resultem ou possam resultar em danos à saúde humana ou que provoquem a mortandade de animais ou a destruição significativa da flora Este tipo penal admite apenas a forma dolosa,0
A realização de obras de engenharia destinadas ao uso comercial deverá ser precedida de estudo prévio de impacto ambiental em razão do princípio da precaução,0
O princípio do poluidor pagador estabelece que quem utiliza o recurso ambiental deve suportar os custos advindos dessa prática,0